Scenario,Year,Region,Number of Vehicles
MID,2020,CA,1132506.507
MID,2021,CA,1218155.368
MID,2022,CA,1326316.239
MID,2023,CA,1454977.399
MID,2024,CA,1596854.08
MID,2025,CA,1755857.788
MID,2026,CA,1940507.678
MID,2027,CA,2124837.662
MID,2028,CA,2303796.923
MID,2029,CA,2478560.999
MID,2030,CA,2653764.929
MID,2031,CA,2828998.697
MID,2032,CA,2996718.647
MID,2033,CA,3157524.826
MID,2034,CA,3308812.001
MID,2035,CA,3447188.249
MID,2036,CA,3589720.341
MID,2037,CA,3715930.78
MID,2038,CA,3825524.448
MID,2039,CA,3922850.322
MID,2040,CA,4009332.18
MID,2041,CA,4100311.129
MID,2042,CA,4183735.853
MID,2043,CA,4262254.04
MID,2044,CA,4336938.482
MID,2045,CA,4406979.572
MID,2046,CA,4477310.334
MID,2047,CA,4547921.217
MID,2048,CA,4616245.375
MID,2049,CA,4682668.042
MID,2050,CA,4750206.895
MID,2020,OR,120974.4009
MID,2021,OR,130123.4165
MID,2022,OR,141677.166
MID,2023,OR,155420.7575
MID,2024,OR,170576.0315
MID,2025,OR,187560.8155
MID,2026,OR,207285.1259
MID,2027,OR,226975.2638
MID,2028,OR,246091.7009
MID,2029,OR,264760.0081
MID,2030,OR,283475.3006
MID,2031,OR,302193.7803
MID,2032,OR,320109.6337
MID,2033,OR,337286.9576
MID,2034,OR,353447.4611
MID,2035,OR,368228.8187
MID,2036,OR,383454.1038
MID,2037,OR,396935.9091
MID,2038,OR,408642.7101
MID,2039,OR,419039.0648
MID,2040,OR,428277.0611
MID,2041,OR,437995.4369
MID,2042,OR,446906.8701
MID,2043,OR,455294.1867
MID,2044,OR,463271.9825
MID,2045,OR,470753.7751
MID,2046,OR,478266.5106
MID,2047,OR,485809.1686
MID,2048,OR,493107.5585
MID,2049,OR,500202.8311
MID,2050,OR,507417.3347
MID,2020,WA,221476.2109
MID,2021,WA,238225.9471
MID,2022,WA,259378.1963
MID,2023,WA,284539.5406
MID,2024,WA,312285.35
MID,2025,WA,343380.5699
MID,2026,WA,379491.2304
MID,2027,WA,415539.3292
MID,2028,WA,450537.1139
MID,2029,WA,484714.4764
MID,2030,WA,518977.8579
MID,2031,WA,553247.0746
MID,2032,WA,586046.8678
MID,2033,WA,617494.5839
MID,2034,WA,647080.7365
MID,2035,WA,674141.9912
MID,2036,WA,702015.9746
MID,2037,WA,726698.049
MID,2038,WA,748130.5001
MID,2039,WA,767163.8264
MID,2040,WA,784076.4657
MID,2041,WA,801868.5691
MID,2042,WA,818183.3467
MID,2043,WA,833538.5879
MID,2044,WA,848144.091
MID,2045,WA,861841.5268
MID,2046,WA,875595.6117
MID,2047,WA,889404.4779
MID,2048,WA,902766.1456
MID,2049,WA,915755.9524
MID,2050,WA,928964.0436
MID,2020,ID,51181.4773
MID,2021,ID,55052.21467
MID,2022,ID,59940.33948
MID,2023,ID,65754.93586
MID,2024,ID,72166.78257
MID,2025,ID,79352.6527
MID,2026,ID,87697.55325
MID,2027,ID,96027.99624
MID,2028,ID,104115.7196
MID,2029,ID,112013.8496
MID,2030,ID,119931.8579
MID,2031,ID,127851.2147
MID,2032,ID,135430.9989
MID,2033,ID,142698.3282
MID,2034,ID,149535.4643
MID,2035,ID,155789.1156
MID,2036,ID,162230.5824
MID,2037,ID,167934.4231
MID,2038,ID,172887.3004
MID,2039,ID,177285.7582
MID,2040,ID,181194.1412
MID,2041,ID,185305.7618
MID,2042,ID,189075.9835
MID,2043,ID,192624.4636
MID,2044,ID,195999.6849
MID,2045,ID,199165.0587
MID,2046,ID,202343.5237
MID,2047,ID,205534.6483
MID,2048,ID,208622.4286
MID,2049,ID,211624.2747
MID,2050,ID,214676.5647
EV,2020,CA,1475506.633
EV,2021,CA,1718718.083
EV,2022,CA,2061702.644
EV,2023,CA,2459901.62
EV,2024,CA,2940194.191
EV,2025,CA,3500127.029
EV,2026,CA,4292867.577
EV,2027,CA,5320082.89
EV,2028,CA,6443948.429
EV,2029,CA,7605992.96
EV,2030,CA,8794887.527
EV,2031,CA,10034678.18
EV,2032,CA,11344907.26
EV,2033,CA,12704195.93
EV,2034,CA,14064242.57
EV,2035,CA,15412163.61
EV,2036,CA,16776409.37
EV,2037,CA,18082887.96
EV,2038,CA,19317805.41
EV,2039,CA,20470818.97
EV,2040,CA,21542695.03
EV,2041,CA,22650433.94
EV,2042,CA,23680708.12
EV,2043,CA,24637427.33
EV,2044,CA,25529334.28
EV,2045,CA,26373778.37
EV,2046,CA,27227295.64
EV,2047,CA,28066225.88
EV,2048,CA,28900643.11
EV,2049,CA,29735473.1
EV,2050,CA,30572019
EV,2020,OR,157613.6913
EV,2021,OR,183593.5503
EV,2022,OR,220231.1781
EV,2023,OR,262766.8123
EV,2024,OR,314071.6884
EV,2025,OR,373883.7418
EV,2026,OR,458564.3262
EV,2027,OR,568291.5166
EV,2028,OR,688342.8889
EV,2029,OR,812472.543
EV,2030,OR,939470.3192
EV,2031,OR,1071904.818
EV,2032,OR,1211863.553
EV,2033,OR,1357062.836
EV,2034,OR,1502343.085
EV,2035,OR,1646328.077
EV,2036,OR,1792056.876
EV,2037,OR,1931614.984
EV,2038,OR,2063528.926
EV,2039,OR,2186693.891
EV,2040,OR,2301191.745
EV,2041,OR,2419520.47
EV,2042,OR,2529574.409
EV,2043,OR,2631771.203
EV,2044,OR,2727044.746
EV,2045,OR,2817248.305
EV,2046,OR,2908421.063
EV,2047,OR,2998035.633
EV,2048,OR,3087168.122
EV,2049,OR,3176344.703
EV,2050,OR,3265704.577
EV,2020,WA,288554.2964
EV,2021,WA,336117.4229
EV,2022,WA,403192.4645
EV,2023,WA,481065.3948
EV,2024,WA,574992.7834
EV,2025,WA,684494.8504
EV,2026,WA,839525.4587
EV,2027,WA,1040410.623
EV,2028,WA,1260196.981
EV,2029,WA,1487449.733
EV,2030,WA,1719953.354
EV,2031,WA,1962410.358
EV,2032,WA,2218642.505
EV,2033,WA,2484468.884
EV,2034,WA,2750443.494
EV,2035,WA,3014046.787
EV,2036,WA,3280842.588
EV,2037,WA,3536341.278
EV,2038,WA,3777845.265
EV,2039,WA,4003331.893
EV,2040,WA,4212951.041
EV,2041,WA,4429583.629
EV,2042,WA,4631066.995
EV,2043,WA,4818165.74
EV,2044,WA,4992589.612
EV,2045,WA,5157731.513
EV,2046,WA,5324647.792
EV,2047,WA,5488711.389
EV,2048,WA,5651892.408
EV,2049,WA,5815154.148
EV,2050,WA,5978751.456
EV,2020,ID,66682.71556
EV,2021,ID,77674.19438
EV,2022,ID,93174.7292
EV,2023,ID,111170.5744
EV,2024,ID,132876.4836
EV,2025,ID,158181.5831
EV,2026,ID,194007.9842
EV,2027,ID,240431.0263
EV,2028,ID,291221.9914
EV,2029,ID,343738.3836
EV,2030,ID,397468.212
EV,2031,ID,453498.1921
EV,2032,ID,512711.5033
EV,2033,ID,574141.969
EV,2034,ID,635606.6897
EV,2035,ID,696523.4172
EV,2036,ID,758177.909
EV,2037,ID,817221.7239
EV,2038,ID,873031.4687
EV,2039,ID,925139.7232
EV,2040,ID,973581.1229
EV,2041,ID,1023643.276
EV,2042,ID,1070204.558
EV,2043,ID,1113441.663
EV,2044,ID,1153749.7
EV,2045,ID,1191912.745
EV,2046,ID,1230485.834
EV,2047,ID,1268399.691
EV,2048,ID,1306109.59
EV,2049,ID,1343838.143
EV,2050,ID,1381644.244
BAT,2020,CA,1132506.507
BAT,2021,CA,1218155.368
BAT,2022,CA,1326316.239
BAT,2023,CA,1454977.399
BAT,2024,CA,1596854.08
BAT,2025,CA,1755857.788
BAT,2026,CA,1940507.678
BAT,2027,CA,2124837.662
BAT,2028,CA,2303796.923
BAT,2029,CA,2478560.999
BAT,2030,CA,2653764.929
BAT,2031,CA,2828998.697
BAT,2032,CA,2996718.647
BAT,2033,CA,3157524.826
BAT,2034,CA,3308812.001
BAT,2035,CA,3447188.249
BAT,2036,CA,3589720.341
BAT,2037,CA,3715930.78
BAT,2038,CA,3825524.448
BAT,2039,CA,3922850.322
BAT,2040,CA,4009332.18
BAT,2041,CA,4100311.129
BAT,2042,CA,4183735.853
BAT,2043,CA,4262254.04
BAT,2044,CA,4336938.482
BAT,2045,CA,4406979.572
BAT,2046,CA,4477310.334
BAT,2047,CA,4547921.217
BAT,2048,CA,4616245.375
BAT,2049,CA,4682668.042
BAT,2050,CA,4750206.895
BAT,2020,OR,120974.4009
BAT,2021,OR,130123.4165
BAT,2022,OR,141677.166
BAT,2023,OR,155420.7575
BAT,2024,OR,170576.0315
BAT,2025,OR,187560.8155
BAT,2026,OR,207285.1259
BAT,2027,OR,226975.2638
BAT,2028,OR,246091.7009
BAT,2029,OR,264760.0081
BAT,2030,OR,283475.3006
BAT,2031,OR,302193.7803
BAT,2032,OR,320109.6337
BAT,2033,OR,337286.9576
BAT,2034,OR,353447.4611
BAT,2035,OR,368228.8187
BAT,2036,OR,383454.1038
BAT,2037,OR,396935.9091
BAT,2038,OR,408642.7101
BAT,2039,OR,419039.0648
BAT,2040,OR,428277.0611
BAT,2041,OR,437995.4369
BAT,2042,OR,446906.8701
BAT,2043,OR,455294.1867
BAT,2044,OR,463271.9825
BAT,2045,OR,470753.7751
BAT,2046,OR,478266.5106
BAT,2047,OR,485809.1686
BAT,2048,OR,493107.5585
BAT,2049,OR,500202.8311
BAT,2050,OR,507417.3347
BAT,2020,WA,221476.2109
BAT,2021,WA,238225.9471
BAT,2022,WA,259378.1963
BAT,2023,WA,284539.5406
BAT,2024,WA,312285.35
BAT,2025,WA,343380.5699
BAT,2026,WA,379491.2304
BAT,2027,WA,415539.3292
BAT,2028,WA,450537.1139
BAT,2029,WA,484714.4764
BAT,2030,WA,518977.8579
BAT,2031,WA,553247.0746
BAT,2032,WA,586046.8678
BAT,2033,WA,617494.5839
BAT,2034,WA,647080.7365
BAT,2035,WA,674141.9912
BAT,2036,WA,702015.9746
BAT,2037,WA,726698.049
BAT,2038,WA,748130.5001
BAT,2039,WA,767163.8264
BAT,2040,WA,784076.4657
BAT,2041,WA,801868.5691
BAT,2042,WA,818183.3467
BAT,2043,WA,833538.5879
BAT,2044,WA,848144.091
BAT,2045,WA,861841.5268
BAT,2046,WA,875595.6117
BAT,2047,WA,889404.4779
BAT,2048,WA,902766.1456
BAT,2049,WA,915755.9524
BAT,2050,WA,928964.0436
BAT,2020,ID,51181.4773
BAT,2021,ID,55052.21467
BAT,2022,ID,59940.33948
BAT,2023,ID,65754.93586
BAT,2024,ID,72166.78257
BAT,2025,ID,79352.6527
BAT,2026,ID,87697.55325
BAT,2027,ID,96027.99624
BAT,2028,ID,104115.7196
BAT,2029,ID,112013.8496
BAT,2030,ID,119931.8579
BAT,2031,ID,127851.2147
BAT,2032,ID,135430.9989
BAT,2033,ID,142698.3282
BAT,2034,ID,149535.4643
BAT,2035,ID,155789.1156
BAT,2036,ID,162230.5824
BAT,2037,ID,167934.4231
BAT,2038,ID,172887.3004
BAT,2039,ID,177285.7582
BAT,2040,ID,181194.1412
BAT,2041,ID,185305.7618
BAT,2042,ID,189075.9835
BAT,2043,ID,192624.4636
BAT,2044,ID,195999.6849
BAT,2045,ID,199165.0587
BAT,2046,ID,202343.5237
BAT,2047,ID,205534.6483
BAT,2048,ID,208622.4286
BAT,2049,ID,211624.2747
BAT,2050,ID,214676.5647
LOWRECOST,2020,CA,1132506.507
LOWRECOST,2021,CA,1218155.368
LOWRECOST,2022,CA,1326316.239
LOWRECOST,2023,CA,1454977.399
LOWRECOST,2024,CA,1596854.08
LOWRECOST,2025,CA,1755857.788
LOWRECOST,2026,CA,1940507.678
LOWRECOST,2027,CA,2124837.662
LOWRECOST,2028,CA,2303796.923
LOWRECOST,2029,CA,2478560.999
LOWRECOST,2030,CA,2653764.929
LOWRECOST,2031,CA,2828998.697
LOWRECOST,2032,CA,2996718.647
LOWRECOST,2033,CA,3157524.826
LOWRECOST,2034,CA,3308812.001
LOWRECOST,2035,CA,3447188.249
LOWRECOST,2036,CA,3589720.341
LOWRECOST,2037,CA,3715930.78
LOWRECOST,2038,CA,3825524.448
LOWRECOST,2039,CA,3922850.322
LOWRECOST,2040,CA,4009332.18
LOWRECOST,2041,CA,4100311.129
LOWRECOST,2042,CA,4183735.853
LOWRECOST,2043,CA,4262254.04
LOWRECOST,2044,CA,4336938.482
LOWRECOST,2045,CA,4406979.572
LOWRECOST,2046,CA,4477310.334
LOWRECOST,2047,CA,4547921.217
LOWRECOST,2048,CA,4616245.375
LOWRECOST,2049,CA,4682668.042
LOWRECOST,2050,CA,4750206.895
LOWRECOST,2020,OR,120974.4009
LOWRECOST,2021,OR,130123.4165
LOWRECOST,2022,OR,141677.166
LOWRECOST,2023,OR,155420.7575
LOWRECOST,2024,OR,170576.0315
LOWRECOST,2025,OR,187560.8155
LOWRECOST,2026,OR,207285.1259
LOWRECOST,2027,OR,226975.2638
LOWRECOST,2028,OR,246091.7009
LOWRECOST,2029,OR,264760.0081
LOWRECOST,2030,OR,283475.3006
LOWRECOST,2031,OR,302193.7803
LOWRECOST,2032,OR,320109.6337
LOWRECOST,2033,OR,337286.9576
LOWRECOST,2034,OR,353447.4611
LOWRECOST,2035,OR,368228.8187
LOWRECOST,2036,OR,383454.1038
LOWRECOST,2037,OR,396935.9091
LOWRECOST,2038,OR,408642.7101
LOWRECOST,2039,OR,419039.0648
LOWRECOST,2040,OR,428277.0611
LOWRECOST,2041,OR,437995.4369
LOWRECOST,2042,OR,446906.8701
LOWRECOST,2043,OR,455294.1867
LOWRECOST,2044,OR,463271.9825
LOWRECOST,2045,OR,470753.7751
LOWRECOST,2046,OR,478266.5106
LOWRECOST,2047,OR,485809.1686
LOWRECOST,2048,OR,493107.5585
LOWRECOST,2049,OR,500202.8311
LOWRECOST,2050,OR,507417.3347
LOWRECOST,2020,WA,221476.2109
LOWRECOST,2021,WA,238225.9471
LOWRECOST,2022,WA,259378.1963
LOWRECOST,2023,WA,284539.5406
LOWRECOST,2024,WA,312285.35
LOWRECOST,2025,WA,343380.5699
LOWRECOST,2026,WA,379491.2304
LOWRECOST,2027,WA,415539.3292
LOWRECOST,2028,WA,450537.1139
LOWRECOST,2029,WA,484714.4764
LOWRECOST,2030,WA,518977.8579
LOWRECOST,2031,WA,553247.0746
LOWRECOST,2032,WA,586046.8678
LOWRECOST,2033,WA,617494.5839
LOWRECOST,2034,WA,647080.7365
LOWRECOST,2035,WA,674141.9912
LOWRECOST,2036,WA,702015.9746
LOWRECOST,2037,WA,726698.049
LOWRECOST,2038,WA,748130.5001
LOWRECOST,2039,WA,767163.8264
LOWRECOST,2040,WA,784076.4657
LOWRECOST,2041,WA,801868.5691
LOWRECOST,2042,WA,818183.3467
LOWRECOST,2043,WA,833538.5879
LOWRECOST,2044,WA,848144.091
LOWRECOST,2045,WA,861841.5268
LOWRECOST,2046,WA,875595.6117
LOWRECOST,2047,WA,889404.4779
LOWRECOST,2048,WA,902766.1456
LOWRECOST,2049,WA,915755.9524
LOWRECOST,2050,WA,928964.0436
LOWRECOST,2020,ID,51181.4773
LOWRECOST,2021,ID,55052.21467
LOWRECOST,2022,ID,59940.33948
LOWRECOST,2023,ID,65754.93586
LOWRECOST,2024,ID,72166.78257
LOWRECOST,2025,ID,79352.6527
LOWRECOST,2026,ID,87697.55325
LOWRECOST,2027,ID,96027.99624
LOWRECOST,2028,ID,104115.7196
LOWRECOST,2029,ID,112013.8496
LOWRECOST,2030,ID,119931.8579
LOWRECOST,2031,ID,127851.2147
LOWRECOST,2032,ID,135430.9989
LOWRECOST,2033,ID,142698.3282
LOWRECOST,2034,ID,149535.4643
LOWRECOST,2035,ID,155789.1156
LOWRECOST,2036,ID,162230.5824
LOWRECOST,2037,ID,167934.4231
LOWRECOST,2038,ID,172887.3004
LOWRECOST,2039,ID,177285.7582
LOWRECOST,2040,ID,181194.1412
LOWRECOST,2041,ID,185305.7618
LOWRECOST,2042,ID,189075.9835
LOWRECOST,2043,ID,192624.4636
LOWRECOST,2044,ID,195999.6849
LOWRECOST,2045,ID,199165.0587
LOWRECOST,2046,ID,202343.5237
LOWRECOST,2047,ID,205534.6483
LOWRECOST,2048,ID,208622.4286
LOWRECOST,2049,ID,211624.2747
LOWRECOST,2050,ID,214676.5647
HIGHRECOST,2020,CA,1132506.507
HIGHRECOST,2021,CA,1218155.368
HIGHRECOST,2022,CA,1326316.239
HIGHRECOST,2023,CA,1454977.399
HIGHRECOST,2024,CA,1596854.08
HIGHRECOST,2025,CA,1755857.788
HIGHRECOST,2026,CA,1940507.678
HIGHRECOST,2027,CA,2124837.662
HIGHRECOST,2028,CA,2303796.923
HIGHRECOST,2029,CA,2478560.999
HIGHRECOST,2030,CA,2653764.929
HIGHRECOST,2031,CA,2828998.697
HIGHRECOST,2032,CA,2996718.647
HIGHRECOST,2033,CA,3157524.826
HIGHRECOST,2034,CA,3308812.001
HIGHRECOST,2035,CA,3447188.249
HIGHRECOST,2036,CA,3589720.341
HIGHRECOST,2037,CA,3715930.78
HIGHRECOST,2038,CA,3825524.448
HIGHRECOST,2039,CA,3922850.322
HIGHRECOST,2040,CA,4009332.18
HIGHRECOST,2041,CA,4100311.129
HIGHRECOST,2042,CA,4183735.853
HIGHRECOST,2043,CA,4262254.04
HIGHRECOST,2044,CA,4336938.482
HIGHRECOST,2045,CA,4406979.572
HIGHRECOST,2046,CA,4477310.334
HIGHRECOST,2047,CA,4547921.217
HIGHRECOST,2048,CA,4616245.375
HIGHRECOST,2049,CA,4682668.042
HIGHRECOST,2050,CA,4750206.895
HIGHRECOST,2020,OR,120974.4009
HIGHRECOST,2021,OR,130123.4165
HIGHRECOST,2022,OR,141677.166
HIGHRECOST,2023,OR,155420.7575
HIGHRECOST,2024,OR,170576.0315
HIGHRECOST,2025,OR,187560.8155
HIGHRECOST,2026,OR,207285.1259
HIGHRECOST,2027,OR,226975.2638
HIGHRECOST,2028,OR,246091.7009
HIGHRECOST,2029,OR,264760.0081
HIGHRECOST,2030,OR,283475.3006
HIGHRECOST,2031,OR,302193.7803
HIGHRECOST,2032,OR,320109.6337
HIGHRECOST,2033,OR,337286.9576
HIGHRECOST,2034,OR,353447.4611
HIGHRECOST,2035,OR,368228.8187
HIGHRECOST,2036,OR,383454.1038
HIGHRECOST,2037,OR,396935.9091
HIGHRECOST,2038,OR,408642.7101
HIGHRECOST,2039,OR,419039.0648
HIGHRECOST,2040,OR,428277.0611
HIGHRECOST,2041,OR,437995.4369
HIGHRECOST,2042,OR,446906.8701
HIGHRECOST,2043,OR,455294.1867
HIGHRECOST,2044,OR,463271.9825
HIGHRECOST,2045,OR,470753.7751
HIGHRECOST,2046,OR,478266.5106
HIGHRECOST,2047,OR,485809.1686
HIGHRECOST,2048,OR,493107.5585
HIGHRECOST,2049,OR,500202.8311
HIGHRECOST,2050,OR,507417.3347
HIGHRECOST,2020,WA,221476.2109
HIGHRECOST,2021,WA,238225.9471
HIGHRECOST,2022,WA,259378.1963
HIGHRECOST,2023,WA,284539.5406
HIGHRECOST,2024,WA,312285.35
HIGHRECOST,2025,WA,343380.5699
HIGHRECOST,2026,WA,379491.2304
HIGHRECOST,2027,WA,415539.3292
HIGHRECOST,2028,WA,450537.1139
HIGHRECOST,2029,WA,484714.4764
HIGHRECOST,2030,WA,518977.8579
HIGHRECOST,2031,WA,553247.0746
HIGHRECOST,2032,WA,586046.8678
HIGHRECOST,2033,WA,617494.5839
HIGHRECOST,2034,WA,647080.7365
HIGHRECOST,2035,WA,674141.9912
HIGHRECOST,2036,WA,702015.9746
HIGHRECOST,2037,WA,726698.049
HIGHRECOST,2038,WA,748130.5001
HIGHRECOST,2039,WA,767163.8264
HIGHRECOST,2040,WA,784076.4657
HIGHRECOST,2041,WA,801868.5691
HIGHRECOST,2042,WA,818183.3467
HIGHRECOST,2043,WA,833538.5879
HIGHRECOST,2044,WA,848144.091
HIGHRECOST,2045,WA,861841.5268
HIGHRECOST,2046,WA,875595.6117
HIGHRECOST,2047,WA,889404.4779
HIGHRECOST,2048,WA,902766.1456
HIGHRECOST,2049,WA,915755.9524
HIGHRECOST,2050,WA,928964.0436
HIGHRECOST,2020,ID,51181.4773
HIGHRECOST,2021,ID,55052.21467
HIGHRECOST,2022,ID,59940.33948
HIGHRECOST,2023,ID,65754.93586
HIGHRECOST,2024,ID,72166.78257
HIGHRECOST,2025,ID,79352.6527
HIGHRECOST,2026,ID,87697.55325
HIGHRECOST,2027,ID,96027.99624
HIGHRECOST,2028,ID,104115.7196
HIGHRECOST,2029,ID,112013.8496
HIGHRECOST,2030,ID,119931.8579
HIGHRECOST,2031,ID,127851.2147
HIGHRECOST,2032,ID,135430.9989
HIGHRECOST,2033,ID,142698.3282
HIGHRECOST,2034,ID,149535.4643
HIGHRECOST,2035,ID,155789.1156
HIGHRECOST,2036,ID,162230.5824
HIGHRECOST,2037,ID,167934.4231
HIGHRECOST,2038,ID,172887.3004
HIGHRECOST,2039,ID,177285.7582
HIGHRECOST,2040,ID,181194.1412
HIGHRECOST,2041,ID,185305.7618
HIGHRECOST,2042,ID,189075.9835
HIGHRECOST,2043,ID,192624.4636
HIGHRECOST,2044,ID,195999.6849
HIGHRECOST,2045,ID,199165.0587
HIGHRECOST,2046,ID,202343.5237
HIGHRECOST,2047,ID,205534.6483
HIGHRECOST,2048,ID,208622.4286
HIGHRECOST,2049,ID,211624.2747
HIGHRECOST,2050,ID,214676.5647
