Scenario,State,Year,Generation (TWh),Demand (MW)
MID,CA,2020,242.4879831,27681.27661
MID,CA,2022,222.2137449,25366.86586
MID,CA,2024,218.9761819,24997.28104
MID,CA,2026,225.6977287,25764.5809
MID,CA,2028,222.3374005,25380.98179
MID,CA,2030,223.6283797,25528.35385
MID,CA,2032,231.0037162,26370.28723
MID,CA,2034,252.8715592,28866.61635
MID,CA,2036,284.1456774,32436.72117
MID,CA,2038,290.7675598,33192.64381
MID,CA,2040,303.5318278,34649.75203
MID,CA,2042,314.4372593,35894.6643
MID,CA,2044,329.4693487,37610.65625
MID,CA,2046,344.3929609,39314.26494
MID,CA,2048,343.7725198,39243.43833
MID,CA,2050,356.3325418,40677.23079
MID,OR,2020,53.80677934,6142.326408
MID,OR,2022,62.57688274,7143.479765
MID,OR,2024,70.49090096,8046.906503
MID,OR,2026,68.03266101,7766.285503
MID,OR,2028,69.09143121,7887.149681
MID,OR,2030,66.43169218,7583.526505
MID,OR,2032,65.05668351,7426.562045
MID,OR,2034,62.84460906,7174.04213
MID,OR,2036,55.20269934,6301.678007
MID,OR,2038,55.07908878,6287.567213
MID,OR,2040,52.59208552,6003.662731
MID,OR,2042,50.2504455,5736.352226
MID,OR,2044,51.00190908,5822.13574
MID,OR,2046,52.94333653,6043.759878
MID,OR,2048,55.99099355,6391.665931
MID,OR,2050,64.68855643,7384.538406
MID,WA,2020,120.6806431,13776.32912
MID,WA,2022,123.9346077,14147.78626
MID,WA,2024,124.1734004,14175.04571
MID,WA,2026,131.9953189,15067.95878
MID,WA,2028,135.390239,15455.50673
MID,WA,2030,143.6003928,16392.7389
MID,WA,2032,144.2223113,16463.73417
MID,WA,2034,142.9042583,16313.2715
MID,WA,2036,141.4486263,16147.10346
MID,WA,2038,144.2888712,16471.33233
MID,WA,2040,147.1032646,16792.61012
MID,WA,2042,149.97907,17120.89841
MID,WA,2044,152.4697023,17405.21716
MID,WA,2046,155.2305055,17720.37734
MID,WA,2048,155.1143879,17707.1219
MID,WA,2050,157.6583615,17997.52986
MID,NV,2020,46.15340444,5268.653475
MID,NV,2022,58.72269064,6703.503498
MID,NV,2024,59.87112344,6834.603133
MID,NV,2026,62.90355394,7180.770998
MID,NV,2028,67.0221687,7650.9325
MID,NV,2030,68.79692074,7853.529765
MID,NV,2032,69.98384166,7989.023021
MID,NV,2034,67.9828976,7760.604748
MID,NV,2036,66.02622652,7537.24047
MID,NV,2038,65.14290919,7436.405159
MID,NV,2040,67.39173571,7693.120515
MID,NV,2042,67.73791486,7732.638683
MID,NV,2044,68.16413676,7781.29415
MID,NV,2046,67.85836819,7746.389062
MID,NV,2048,66.11301227,7547.14752
MID,NV,2050,63.17451919,7211.703104
MID,ID,2020,22.7672085,2598.996404
MID,ID,2022,23.24891827,2653.986103
MID,ID,2024,29.92419181,3416.003631
MID,ID,2026,32.57686538,3718.820249
MID,ID,2028,33.46234139,3819.901986
MID,ID,2030,32.06162799,3660.003195
MID,ID,2032,32.46391923,3705.926853
MID,ID,2034,34.01883331,3883.42846
MID,ID,2036,32.22965285,3679.184115
MID,ID,2038,33.13148416,3782.132895
MID,ID,2040,32.40269026,3698.937244
MID,ID,2042,33.24178697,3794.72454
MID,ID,2044,33.58670427,3834.098661
MID,ID,2046,34.78264923,3970.622058
MID,ID,2048,34.13737912,3896.961087
MID,ID,2050,38.61191445,4407.752791
EV,CA,2020,244.3276502,27891.28427
EV,CA,2022,220.2268767,25140.05442
EV,CA,2024,223.6227172,25527.70744
EV,CA,2026,229.8466235,26238.19903
EV,CA,2028,227.7659746,26000.68204
EV,CA,2030,230.6004828,26324.25603
EV,CA,2032,239.4751964,27337.35118
EV,CA,2034,248.5861133,28377.4102
EV,CA,2036,285.1332135,32549.4536
EV,CA,2038,303.086461,34598.91107
EV,CA,2040,316.8030206,36164.72838
EV,CA,2042,331.5566614,37848.93395
EV,CA,2044,349.5400704,39901.83452
EV,CA,2046,365.3203685,41703.23841
EV,CA,2048,369.0484113,42128.81408
EV,CA,2050,382.0043667,43607.80442
EV,OR,2020,54.0027106,6164.692991
EV,OR,2022,65.313971,7455.932763
EV,OR,2024,70.68361044,8068.905302
EV,OR,2026,68.06816896,7770.338923
EV,OR,2028,69.85235747,7974.01341
EV,OR,2030,67.5109842,7706.733357
EV,OR,2032,66.45187094,7585.830016
EV,OR,2034,64.96088266,7415.625874
EV,OR,2036,57.47533213,6561.110974
EV,OR,2038,56.33541703,6430.98368
EV,OR,2040,55.62585593,6349.983554
EV,OR,2042,52.82642897,6030.414266
EV,OR,2044,52.45484369,5987.995855
EV,OR,2046,55.14621836,6295.230407
EV,OR,2048,58.40607641,6667.360321
EV,OR,2050,68.14928738,7779.599016
EV,WA,2020,121.5494923,13875.51282
EV,WA,2022,125.2925456,14302.80201
EV,WA,2024,124.3507057,14195.28604
EV,WA,2026,133.0600609,15189.50466
EV,WA,2028,136.4898813,15581.03668
EV,WA,2030,145.9053217,16655.85864
EV,WA,2032,145.4544197,16604.38581
EV,WA,2034,147.6619792,16856.39032
EV,WA,2036,144.7018594,16518.4771
EV,WA,2038,146.5079736,16724.65452
EV,WA,2040,149.6188648,17079.77909
EV,WA,2042,152.4610932,17404.23439
EV,WA,2044,155.7528791,17780.00903
EV,WA,2046,158.345668,18075.9895
EV,WA,2048,158.597159,18104.69851
EV,WA,2050,160.9450901,18372.72718
EV,NV,2020,46.88894316,5352.619082
EV,NV,2022,57.94040331,6614.201291
EV,NV,2024,59.8656701,6833.980605
EV,NV,2026,64.23081299,7332.284588
EV,NV,2028,67.74272444,7733.187721
EV,NV,2030,70.59786573,8059.117093
EV,NV,2032,72.69176169,8298.146312
EV,NV,2034,72.45310698,8270.902624
EV,NV,2036,68.62419812,7833.812571
EV,NV,2038,69.66757718,7952.919769
EV,NV,2040,71.45555074,8157.026341
EV,NV,2042,71.86306006,8203.545668
EV,NV,2044,68.92432557,7868.073696
EV,NV,2046,68.83970137,7858.413398
EV,NV,2048,68.77805858,7851.376551
EV,NV,2050,67.63066129,7720.395124
EV,ID,2020,22.20563992,2534.890402
EV,ID,2022,22.38446497,2555.30422
EV,ID,2024,30.28008037,3456.630179
EV,ID,2026,32.89949222,3755.649796
EV,ID,2028,33.97607829,3878.54775
EV,ID,2030,32.73075227,3736.387245
EV,ID,2032,32.4563013,3705.057226
EV,ID,2034,36.52403132,4169.409968
EV,ID,2036,34.84894011,3978.189511
EV,ID,2038,34.38899114,3925.68392
EV,ID,2040,34.60279154,3950.090359
EV,ID,2042,35.23006247,4021.696629
EV,ID,2044,35.97583985,4106.831033
EV,ID,2046,36.39699492,4154.908095
EV,ID,2048,37.14413819,4240.198424
EV,ID,2050,42.2155302,4819.124452
BAT,CA,2020,242.4772495,27680.05131
BAT,CA,2022,222.178133,25362.80057
BAT,CA,2024,218.96781,24996.32534
BAT,CA,2026,226.3002854,25833.36591
BAT,CA,2028,225.6071253,25754.23805
BAT,CA,2030,225.5207399,25744.3767
BAT,CA,2032,233.2051252,26621.58963
BAT,CA,2034,248.7635536,28397.66594
BAT,CA,2036,280.6715228,32040.12818
BAT,CA,2038,298.0130965,34019.75987
BAT,CA,2040,310.6486448,35462.17407
BAT,CA,2042,321.9261892,36749.56498
BAT,CA,2044,336.0716725,38364.34617
BAT,CA,2046,350.3031866,39988.94825
BAT,CA,2048,349.1233701,39854.26599
BAT,CA,2050,362.8826922,41424.96487
BAT,OR,2020,53.82955001,6144.9258
BAT,OR,2022,62.58119987,7143.972588
BAT,OR,2024,70.62863918,8062.630043
BAT,OR,2026,68.75924968,7849.229415
BAT,OR,2028,70.82495949,8085.041038
BAT,OR,2030,67.6875465,7726.88887
BAT,OR,2032,68.22488293,7788.228645
BAT,OR,2034,65.81613727,7513.257679
BAT,OR,2036,57.75161244,6592.649821
BAT,OR,2038,57.15526518,6524.573651
BAT,OR,2040,55.21017202,6302.531052
BAT,OR,2042,53.8407683,6146.206427
BAT,OR,2044,55.80135614,6370.017824
BAT,OR,2046,56.49036485,6448.671786
BAT,OR,2048,56.12892162,6407.411144
BAT,OR,2050,60.83698824,6944.861672
BAT,WA,2020,120.684621,13776.78322
BAT,WA,2022,123.927694,14146.99703
BAT,WA,2024,124.1916123,14177.12469
BAT,WA,2026,131.0431681,14959.26577
BAT,WA,2028,132.4805264,15123.34777
BAT,WA,2030,141.6060104,16165.06968
BAT,WA,2032,143.6560078,16399.08764
BAT,WA,2034,143.0517936,16330.11342
BAT,WA,2036,141.4905449,16151.88869
BAT,WA,2038,142.8698576,16309.34447
BAT,WA,2040,145.6496412,16626.67137
BAT,WA,2042,148.5478756,16957.52005
BAT,WA,2044,151.3130634,17273.18076
BAT,WA,2046,154.1437858,17596.32258
BAT,WA,2048,154.0364179,17584.06597
BAT,WA,2050,156.8509943,17905.36465
BAT,NV,2020,46.1229647,5265.178619
BAT,NV,2022,58.72680938,6703.973674
BAT,NV,2024,59.76261443,6822.216259
BAT,NV,2026,63.27856044,7223.579958
BAT,NV,2028,67.04366284,7653.386169
BAT,NV,2030,69.74386668,7961.628616
BAT,NV,2032,70.77601866,8079.454185
BAT,NV,2034,68.78378994,7852.030816
BAT,NV,2036,67.16032703,7666.703999
BAT,NV,2038,66.22236778,7559.631025
BAT,NV,2040,65.63762224,7492.879252
BAT,NV,2042,66.68259747,7612.168661
BAT,NV,2044,64.44849827,7357.134506
BAT,NV,2046,60.86962931,6948.587821
BAT,NV,2048,60.63776403,6922.119181
BAT,NV,2050,61.8225953,7057.373893
BAT,ID,2020,22.78255685,2600.748499
BAT,ID,2022,23.25374271,2654.536839
BAT,ID,2024,30.06336902,3431.89144
BAT,ID,2026,32.90963904,3756.808109
BAT,ID,2028,33.38802178,3811.418011
BAT,ID,2030,31.90679463,3642.328155
BAT,ID,2032,32.49558405,3709.541559
BAT,ID,2034,32.94583012,3760.939511
BAT,ID,2036,31.34812012,3578.552525
BAT,ID,2038,31.07297296,3547.143032
BAT,ID,2040,30.70369563,3504.988085
BAT,ID,2042,30.10063834,3436.145929
BAT,ID,2044,31.47163596,3592.652506
BAT,ID,2046,32.38484814,3696.900473
BAT,ID,2048,33.87431267,3866.93067
BAT,ID,2050,38.68319319,4415.889634
LOWRECOST,CA,2020,236.4357797,26990.38581
LOWRECOST,CA,2022,239.2652487,27313.38455
LOWRECOST,CA,2024,242.5288713,27685.94422
LOWRECOST,CA,2026,231.2618749,26399.7574
LOWRECOST,CA,2028,222.0512064,25348.31123
LOWRECOST,CA,2030,230.2209644,26280.932
LOWRECOST,CA,2032,243.2243095,27765.33213
LOWRECOST,CA,2034,250.5427533,28600.77093
LOWRECOST,CA,2036,256.789433,29313.86221
LOWRECOST,CA,2038,264.6740275,30213.93008
LOWRECOST,CA,2040,270.4994457,30878.93216
LOWRECOST,CA,2042,282.3922809,32236.56175
LOWRECOST,CA,2044,289.5056505,33048.59023
LOWRECOST,CA,2046,307.464395,35098.67522
LOWRECOST,CA,2048,305.0758953,34826.01544
LOWRECOST,CA,2050,316.8857857,36174.17645
LOWRECOST,OR,2020,53.79884079,6141.420181
LOWRECOST,OR,2022,52.10565916,5948.134607
LOWRECOST,OR,2024,52.4019665,5981.959646
LOWRECOST,OR,2026,50.69592777,5787.206366
LOWRECOST,OR,2028,50.33057649,5745.499599
LOWRECOST,OR,2030,49.7297606,5676.913311
LOWRECOST,OR,2032,47.32430575,5402.318008
LOWRECOST,OR,2034,47.97498119,5476.596027
LOWRECOST,OR,2036,48.2176726,5504.300525
LOWRECOST,OR,2038,52.57883308,6002.149895
LOWRECOST,OR,2040,52.96235832,6045.931315
LOWRECOST,OR,2042,55.02180138,6281.027555
LOWRECOST,OR,2044,62.23889758,7104.896983
LOWRECOST,OR,2046,66.11109473,7546.928622
LOWRECOST,OR,2048,68.44780789,7813.6767
LOWRECOST,OR,2050,74.48507582,8502.862536
LOWRECOST,WA,2020,121.1953067,13835.08068
LOWRECOST,WA,2022,121.1496248,13829.86585
LOWRECOST,WA,2024,119.9753775,13695.81935
LOWRECOST,WA,2026,120.292568,13732.02831
LOWRECOST,WA,2028,121.5641253,13877.18325
LOWRECOST,WA,2030,129.5482378,14788.61162
LOWRECOST,WA,2032,131.0908539,14964.70935
LOWRECOST,WA,2034,133.2904195,15215.80131
LOWRECOST,WA,2036,135.9272856,15516.81343
LOWRECOST,WA,2038,138.4588275,15805.80223
LOWRECOST,WA,2040,141.0455451,16101.08962
LOWRECOST,WA,2042,144.0832033,16447.85426
LOWRECOST,WA,2044,146.4398897,16716.88238
LOWRECOST,WA,2046,148.5709283,16960.15163
LOWRECOST,WA,2048,147.3508624,16820.87471
LOWRECOST,WA,2050,148.6666452,16971.07822
LOWRECOST,NV,2020,46.00069589,5251.220992
LOWRECOST,NV,2022,41.16639269,4699.359896
LOWRECOST,NV,2024,49.42260761,5641.850183
LOWRECOST,NV,2026,49.28198174,5625.797002
LOWRECOST,NV,2028,48.25354471,5508.395515
LOWRECOST,NV,2030,42.86042307,4892.74236
LOWRECOST,NV,2032,40.11250818,4579.053445
LOWRECOST,NV,2034,37.75514816,4309.94842
LOWRECOST,NV,2036,35.12105178,4009.252486
LOWRECOST,NV,2038,35.47453157,4049.60406
LOWRECOST,NV,2040,38.40553768,4384.193799
LOWRECOST,NV,2042,40.43168148,4615.488753
LOWRECOST,NV,2044,40.6179627,4636.753732
LOWRECOST,NV,2046,39.98358549,4564.336243
LOWRECOST,NV,2048,39.57469252,4517.658964
LOWRECOST,NV,2050,39.07173609,4460.243846
LOWRECOST,ID,2020,18.56909698,2119.759929
LOWRECOST,ID,2022,18.37178639,2097.235889
LOWRECOST,ID,2024,28.73347874,3280.077482
LOWRECOST,ID,2026,36.74445555,4194.572551
LOWRECOST,ID,2028,35.90489603,4098.732423
LOWRECOST,ID,2030,34.33433384,3919.444502
LOWRECOST,ID,2032,30.61075887,3494.378867
LOWRECOST,ID,2034,29.33259314,3348.469536
LOWRECOST,ID,2036,26.48597725,3023.513385
LOWRECOST,ID,2038,24.59467945,2807.61181
LOWRECOST,ID,2040,24.01588648,2741.539553
LOWRECOST,ID,2042,22.29957748,2545.613867
LOWRECOST,ID,2044,24.46434585,2792.733544
LOWRECOST,ID,2046,24.49885428,2796.672863
LOWRECOST,ID,2048,23.97541112,2736.919078
LOWRECOST,ID,2050,25.86293035,2952.389309
HIGHRECOST,CA,2020,246.6938423,28161.39752
HIGHRECOST,CA,2022,218.0918946,24896.335
HIGHRECOST,CA,2024,208.6277469,23815.95284
HIGHRECOST,CA,2026,186.1627164,21251.45165
HIGHRECOST,CA,2028,186.8619743,21331.27561
HIGHRECOST,CA,2030,198.1191992,22616.34694
HIGHRECOST,CA,2032,219.8027604,25091.63932
HIGHRECOST,CA,2034,238.7490507,27254.45784
HIGHRECOST,CA,2036,257.4932669,29394.20855
HIGHRECOST,CA,2038,279.264432,31879.50137
HIGHRECOST,CA,2040,293.3090695,33482.7705
HIGHRECOST,CA,2042,310.9553859,35497.19017
HIGHRECOST,CA,2044,324.4388745,37036.4012
HIGHRECOST,CA,2046,335.3827169,38285.69827
HIGHRECOST,CA,2048,336.8981436,38458.6922
HIGHRECOST,CA,2050,356.2924859,40672.6582
HIGHRECOST,OR,2020,53.19417091,6072.39394
HIGHRECOST,OR,2022,65.33867631,7458.753004
HIGHRECOST,OR,2024,72.80528677,8311.105795
HIGHRECOST,OR,2026,76.26592953,8706.156339
HIGHRECOST,OR,2028,75.30542235,8596.5094
HIGHRECOST,OR,2030,69.85524922,7974.343518
HIGHRECOST,OR,2032,66.64180555,7607.512049
HIGHRECOST,OR,2034,63.07834412,7200.724215
HIGHRECOST,OR,2036,59.61464469,6805.324737
HIGHRECOST,OR,2038,57.73354564,6590.587402
HIGHRECOST,OR,2040,56.05722301,6399.226371
HIGHRECOST,OR,2042,50.33738824,5746.277196
HIGHRECOST,OR,2044,47.75461985,5451.440623
HIGHRECOST,OR,2046,46.14117555,5267.257483
HIGHRECOST,OR,2048,46.30670305,5286.153316
HIGHRECOST,OR,2050,45.39997356,5182.645383
HIGHRECOST,WA,2020,120.8541385,13796.13453
HIGHRECOST,WA,2022,124.4049329,14201.47635
HIGHRECOST,WA,2024,123.9757338,14152.48103
HIGHRECOST,WA,2026,129.6098636,14795.64653
HIGHRECOST,WA,2028,131.8627179,15052.82168
HIGHRECOST,WA,2030,139.326043,15904.79943
HIGHRECOST,WA,2032,138.09654,15764.4452
HIGHRECOST,WA,2034,138.7109951,15834.58848
HIGHRECOST,WA,2036,140.2600626,16011.42268
HIGHRECOST,WA,2038,142.7101248,16291.11014
HIGHRECOST,WA,2040,145.582807,16619.04189
HIGHRECOST,WA,2042,148.6192466,16965.66742
HIGHRECOST,WA,2044,150.7529692,17209.24306
HIGHRECOST,WA,2046,153.2723729,17496.84622
HIGHRECOST,WA,2048,153.8297317,17560.47166
HIGHRECOST,WA,2050,156.3862538,17852.31207
HIGHRECOST,NV,2020,45.4052273,5183.245125
HIGHRECOST,NV,2022,56.73131222,6476.177194
HIGHRECOST,NV,2024,63.07219487,7200.022246
HIGHRECOST,NV,2026,87.9273962,10037.374
HIGHRECOST,NV,2028,89.88003156,10260.27758
HIGHRECOST,NV,2030,87.40280616,9977.489287
HIGHRECOST,NV,2032,84.84551938,9685.561573
HIGHRECOST,NV,2034,82.19090976,9382.523945
HIGHRECOST,NV,2036,80.64651304,9206.222949
HIGHRECOST,NV,2038,77.40306163,8835.96594
HIGHRECOST,NV,2040,76.18657429,8697.097522
HIGHRECOST,NV,2042,75.81913937,8655.152896
HIGHRECOST,NV,2044,73.95570638,8442.432236
HIGHRECOST,NV,2046,73.07954377,8342.413672
HIGHRECOST,NV,2048,73.30652767,8368.325077
HIGHRECOST,NV,2050,71.75455849,8191.159645
HIGHRECOST,ID,2020,27.91796949,3186.982818
HIGHRECOST,ID,2022,28.541399,3258.15057
HIGHRECOST,ID,2024,34.32928726,3918.868408
HIGHRECOST,ID,2026,33.85838023,3865.111898
HIGHRECOST,ID,2028,34.71529449,3962.933161
HIGHRECOST,ID,2030,33.40688024,3813.570803
HIGHRECOST,ID,2032,33.25447391,3796.172821
HIGHRECOST,ID,2034,32.28542472,3685.550767
HIGHRECOST,ID,2036,31.89257464,3640.704867
HIGHRECOST,ID,2038,31.66482296,3614.705817
HIGHRECOST,ID,2040,31.54524006,3601.054801
HIGHRECOST,ID,2042,30.95370368,3533.527818
HIGHRECOST,ID,2044,30.19739346,3447.191035
HIGHRECOST,ID,2046,33.30823013,3802.309375
HIGHRECOST,ID,2048,34.01459528,3882.944667
HIGHRECOST,ID,2050,35.3689645,4037.553025
